Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
13101;Croulebarde - Corvisart;OUI;34;31;3;2;1;OUI;OUI;2024-06-15T12:50:25+02:00;48.830981659316855, 2.3481646925210953;Paris;
17048;De Toqueville - Terrasse;OUI;30;27;3;0;3;OUI;OUI;2024-06-15T12:49:44+02:00;48.882428, 2.314002;Paris;
14108;Le Brix et Mesmin - Jourdan;OUI;21;16;5;2;3;OUI;OUI;2024-06-15T12:51:28+02:00;48.82234096593411, 2.327861653302471;Paris;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;12;17;11;6;OUI;OUI;2024-06-15T12:50:40+02:00;48.79628807093802, 2.417212128639221;Vitry-sur-Seine;
15026;Bir Hakeim;OUI;33;25;8;7;1;OUI;OUI;2024-06-15T12:47:51+02:00;48.853844054333514, 2.289705348222022;Paris;
10013;Alibert - Jemmapes;OUI;60;21;37;29;8;OUI;OUI;2024-06-15T12:52:15+02:00;48.871044051984, 2.3661044619878;Paris;
2022;Saint-Fiacre - Poissonière;OUI;35;28;7;4;3;OUI;OUI;2024-06-15T12:51:22+02:00;48.870828911558, 2.3459213599563;Paris;
9008;Tour d'Auvergne - Rodier;OUI;17;13;4;2;2;OUI;OUI;2024-06-15T12:50:58+02:00;48.879161, 2.343698;Paris;
19033;Cambrai - Benjamin Constant;OUI;43;40;3;0;3;OUI;OUI;2024-06-15T12:45:43+02:00;48.89594736851349, 2.381133802246315;Paris;
8103;Artois - Berri;OUI;23;15;7;4;3;OUI;OUI;2024-06-15T12:48:44+02:00;48.87393521240818, 2.3064258322119713;Paris;
17025;Chazelles - Courcelles;OUI;35;32;3;2;1;OUI;OUI;2024-06-15T12:50:21+02:00;48.879406604954, 2.3034455627202988;Paris;
8048;Marceau - Chaillot;OUI;21;20;1;0;1;OUI;OUI;2024-06-15T12:49:12+02:00;48.868834023334, 2.2986030816809;Paris;
