Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
20132;Réunion - Avron;OUI;26;24;2;1;1;OUI;OUI;2024-06-15T12:51:32+02:00;48.852566752033766, 2.403928068708116;Paris;
12024;Gare de Bercy;OUI;35;1;33;29;4;OUI;OUI;2024-06-15T12:51:54+02:00;48.839794573906, 2.3826066032052;Paris;
19203;Pailleron - Bouret;NON;0;0;0;0;0;NON;NON;2024-03-28T12:31:00+01:00;48.880516995482, 2.3763902374411;Paris;
16129;Ceinture du Lac Inferieure - Saint-Cloud;OUI;42;31;11;8;3;OUI;OUI;2024-06-15T12:52:20+02:00;48.86218070933143, 2.2617871686816216;Paris;
11031_relais;Jacquard - Ternaux;OUI;0;0;0;0;0;NON;NON;2023-12-06T10:59:55+01:00;48.8643671, 2.3730935;Paris;
8012;Batignolles - Place de Clichy;OUI;47;45;1;0;1;OUI;OUI;2024-06-15T12:50:36+02:00;48.883474535757, 2.326493114233;Paris;
20119;Square des Saint-Simoniens;OUI;25;24;0;0;0;OUI;OUI;2024-06-15T12:46:21+02:00;48.8701796, 2.3967273;Paris;
41604;Lagny - Joffre;OUI;31;29;2;1;1;OUI;OUI;2024-06-15T12:48:25+02:00;48.84930687084088, 2.417949736118317;Saint-Mandé;
42207;Place des Marseillais;OUI;37;24;12;5;7;OUI;OUI;2024-06-15T12:51:30+02:00;48.82663907252554, 2.4059280753135686;Charenton-le-Pont;
15017;Place Falguière;OUI;23;21;2;0;2;OUI;OUI;2024-06-15T12:49:30+02:00;48.83629973941847, 2.3104464635252953;Paris;
42707;Place Jean-Baptiste Clément;OUI;25;18;7;4;3;OUI;OUI;2024-06-15T12:51:45+02:00;48.81240466867336, 2.3617091774940495;Le Kremlin-Bicêtre;
92004;Nanterre - Université;OUI;20;14;5;3;2;OUI;OUI;2024-06-15T12:46:48+02:00;48.901365, 2.212693;Nanterre;
92003;Chanzy - Sud-Est;OUI;25;25;0;0;0;OUI;OUI;2024-06-15T12:51:13+02:00;48.888912037698766, 2.195632159709931;Nanterre;
18020;Francoeur - Marcadet;OUI;20;20;0;0;0;OUI;OUI;2024-06-15T12:45:31+02:00;48.89104123261663, 2.340014585442034;Paris;
5119;Jussieu - Guy de la Brosse;OUI;40;17;23;5;18;OUI;OUI;2024-06-15T12:49:54+02:00;48.845665, 2.355653;Paris;
43006;Vignerons - Minimes;OUI;29;24;4;2;2;OUI;OUI;2024-06-15T12:51:03+02:00;48.841486, 2.430793;Vincennes;
35009;Jean Lolive - Parc Stalingrad;OUI;22;14;6;4;2;OUI;OUI;2024-06-15T12:50:44+02:00;48.89206174403158, 2.4091735482215886;Pantin;
5002;Sommerard - Saint-Jacques;OUI;34;2;32;31;1;OUI;OUI;2024-06-15T12:50:07+02:00;48.850310432924466, 2.345015835298588;Paris;
27002;Parc Pierre Lagravère;OUI;30;5;23;14;9;OUI;OUI;2024-06-15T12:51:52+02:00;48.92650488131725, 2.239069678491417;Colombes;
8102;Lamennais - Washington;OUI;26;23;1;1;0;OUI;OUI;2024-06-15T12:48:28+02:00;48.87352990026496, 2.303444892168045;Paris;
21109;Guichet - Jean Jaurès;OUI;28;17;9;8;1;OUI;OUI;2024-06-15T12:45:31+02:00;48.905169868129036, 2.3023840785026555;Clichy;
14018;Porte d'Orléans;OUI;48;33;12;4;8;OUI;OUI;2024-06-15T12:51:44+02:00;48.8227639, 2.3249313;Paris;
31012;Place Carnot;OUI;25;19;6;2;4;OUI;OUI;2024-06-15T12:46:52+02:00;48.85593932186797, 2.441531717777252;Montreuil;
31702;Pierre et Marie Curie - Julien Grimau;OUI;18;10;8;0;8;OUI;OUI;2024-06-15T12:49:44+02:00;48.870714014863225, 2.424097023904324;Bagnolet;
35019;Anatole France - Jean Lolive;OUI;28;14;11;5;6;OUI;OUI;2024-06-15T12:49:16+02:00;48.8949922, 2.4253764;Pantin;
21013;Pierre Grenier - Pont de Billancourt;OUI;21;0;21;15;6;OUI;OUI;2024-06-15T12:48:20+02:00;48.8258020742942, 2.2487989068031315;Boulogne-Billancourt;
14104;Boyer-Barret - Raymond Losserand;OUI;23;19;4;1;3;OUI;OUI;2024-06-15T12:48:39+02:00;48.83329880233322, 2.3173383995890617;Paris;
42503;Vladimir Ilitch Lénine - Andrée Chedid;OUI;31;29;1;0;1;OUI;OUI;2024-06-15T12:51:48+02:00;48.813240124373, 2.3319716067039;Gentilly;
20113;Piat - Parc de Belleville;OUI;21;17;4;0;4;OUI;OUI;2024-06-15T12:47:03+02:00;48.87195626635528, 2.384981390278095;Paris;
7014;Saint-François-Xavier;OUI;42;22;13;12;1;OUI;OUI;2024-06-15T12:51:23+02:00;48.85154484769, 2.3146149516106;Paris;
6030;Assas - Vaugirard;OUI;35;29;5;2;3;OUI;OUI;2024-06-15T12:51:52+02:00;48.848274111398, 2.3292413726449;Paris;
2010;Uzès - Montmartre;OUI;29;11;16;5;11;OUI;OUI;2024-06-15T12:51:50+02:00;48.870790980240706, 2.3431010171771054;Paris;
15029;Emeriau - Place de Brazzaville;OUI;51;2;48;45;3;OUI;OUI;2024-06-15T12:51:56+02:00;48.850785261674964, 2.2871585190296173;Paris;
21105;Morice - Général Leclerc;OUI;25;15;9;7;2;OUI;OUI;2024-06-15T12:49:20+02:00;48.90245471981591, 2.3128929734230046;Clichy;
17018;Parc Monceau;OUI;18;11;6;3;3;OUI;OUI;2024-06-15T12:50:57+02:00;48.881077914129, 2.3095492646098;Paris;
34002;Capitaine Glarner - Gabriel Péri;OUI;27;20;7;4;3;OUI;OUI;2024-06-15T12:51:59+02:00;48.902449900418745, 2.3304807533425724;Saint-Ouen-sur-Seine;
5116;Place Valhubert;OUI;51;0;49;41;8;OUI;OUI;2024-06-15T12:52:19+02:00;48.844182577315, 2.3640366643667;Paris;
23002;Pont de Levallois-bécon;OUI;50;47;3;2;1;OUI;OUI;2024-06-15T12:50:58+02:00;48.8984179, 2.2791311;Levallois-Perret;
18005;Tardieu - Chappe;OUI;18;12;6;1;5;OUI;OUI;2024-06-15T12:51:14+02:00;48.884146759782, 2.341845408082;Paris;
14139;Pierre Larousse - Raymond Losserand;OUI;30;22;8;6;2;OUI;OUI;2024-06-15T12:46:16+02:00;48.83059564231877, 2.3119183257222176;Paris;
10005;Petites Ecuries - Faubourg Poissonnière;OUI;17;14;2;0;2;OUI;OUI;2024-06-15T12:51:35+02:00;48.87397217237368, 2.348388757504776;Paris;
13102;Pitié-Salpêtrière;OUI;51;36;15;9;6;OUI;OUI;2024-06-15T12:49:08+02:00;48.83748810318667, 2.365213818848133;Paris;
26001;Gare d'Asnières sur Seine;OUI;24;10;14;13;1;OUI;OUI;2024-06-15T12:51:11+02:00;48.90636459217474, 2.2835066914558415;Asnières-sur-Seine;
10015;Lucien Sampaix - Récollets;OUI;46;17;27;23;4;OUI;OUI;2024-06-15T12:51:52+02:00;48.874330377560476, 2.3621229082345963;Paris;
20136;Henri Chevreau - Couronnes;OUI;27;26;1;1;0;OUI;OUI;2024-06-15T12:52:19+02:00;48.87033205312931, 2.388777695596218;Paris;
19037;Belleville - Porte des Lilas;OUI;32;26;5;4;1;OUI;OUI;2024-06-15T12:52:06+02:00;48.87660391892763, 2.404769691129476;Paris;
5026;Pascal - Claude Bernard;OUI;49;16;33;27;6;OUI;OUI;2024-06-15T12:51:26+02:00;48.839061952159746, 2.3499782010912895;Paris;
6103;Mézières - Rennes;OUI;55;47;6;1;5;OUI;OUI;2024-06-15T12:47:36+02:00;48.85023459321703, 2.3303819820284843;Paris;
15028;Grenelle - Dr Finlay;OUI;71;67;4;4;0;OUI;OUI;2024-06-15T12:52:09+02:00;48.851315406715976, 2.2919502854347233;Paris;
21032;Sèvres-Gallieni;OUI;27;17;9;8;1;OUI;OUI;2024-06-15T12:46:35+02:00;48.837809408957, 2.2281519323587;Boulogne-Billancourt;
7004;Raspail - Varenne;OUI;18;9;9;9;0;OUI;OUI;2024-06-15T12:52:07+02:00;48.853147816545, 2.3263905197382;Paris;
13016;Primo Levi - Frigos;OUI;34;1;33;26;7;OUI;OUI;2024-06-15T12:50:16+02:00;48.83094844846017, 2.37965351592796;Paris;
21111;Professeur René Leriche - Général Leclerc;OUI;50;25;24;11;13;OUI;OUI;2024-06-15T12:51:36+02:00;48.90782845483013, 2.307887971401215;Clichy;
2009;Filles Saint-Thomas - Place de la Bourse;OUI;58;41;16;10;6;OUI;OUI;2024-06-15T12:52:04+02:00;48.868899890853, 2.3397543845203;Paris;
7006;Quai Voltaire;OUI;32;3;27;21;6;OUI;OUI;2024-06-15T12:47:08+02:00;48.858942986179, 2.3314182047146;Paris;
44102;Verdun - Adrien Damalix;OUI;26;14;11;8;3;OUI;OUI;2024-06-15T12:46:34+02:00;48.8222334178559, 2.4215328320860863;Saint-Maurice;
11114;Ledru-Rollin - Charonne;OUI;32;8;23;17;6;OUI;OUI;2024-06-15T12:52:00+02:00;48.85345855607243, 2.3772463581947094;Paris;
9115;Milton - Manuel;OUI;22;22;0;0;0;OUI;OUI;2024-06-15T12:45:18+02:00;48.878249, 2.341181;Paris;
20040;Parc de Belleville - Julien Lacroix;OUI;26;22;3;1;2;OUI;OUI;2024-06-15T12:49:43+02:00;48.8703459, 2.3842214;Paris;
16032;Eglise d'Auteuil;OUI;21;4;17;12;5;OUI;OUI;2024-06-15T12:48:18+02:00;48.84749841771691, 2.26848387135299;Paris;
17017;Gare de Pont-Cardinet;OUI;34;30;3;1;2;OUI;OUI;2024-06-15T12:52:02+02:00;48.88713901475306, 2.314494143994255;Paris;
21003;Jean Jaurès - Jean Baptiste Clément;OUI;39;9;30;25;5;OUI;OUI;2024-06-15T12:52:09+02:00;48.84576261454011, 2.2369650006294255;Boulogne-Billancourt;
10023;Gare de l'Est - Verdun;OUI;14;3;11;1;10;OUI;OUI;2024-06-15T12:51:35+02:00;48.876156054271, 2.3609149083206;Paris;
18025;Mairie du 18ème;OUI;40;36;3;1;2;OUI;OUI;2024-06-15T12:51:24+02:00;48.892939296937605, 2.3445510864257812;Paris;
13026;Place Jean Delay;OUI;35;34;1;0;1;OUI;OUI;2024-06-15T12:47:14+02:00;48.823316, 2.354336;Paris;
17122;Bridaine - Lamandé;OUI;29;28;1;0;1;OUI;OUI;2024-06-15T12:51:28+02:00;48.8862074, 2.3206239;Paris;
11101;Charles Delescluze;OUI;49;19;29;25;4;OUI;OUI;2024-06-15T12:50:32+02:00;48.85242200848887, 2.380632497370243;Paris;
9023;Laffitte - Italiens;OUI;33;32;1;0;1;OUI;OUI;2024-06-15T12:46:49+02:00;48.871815737396, 2.3372015478451;Paris;
15055;Vasco de Gama;OUI;54;30;23;21;2;OUI;OUI;2024-06-15T12:49:14+02:00;48.83671783466264, 2.283664085650799;Paris;
14122;Colonel Monteil - Brune;OUI;19;16;2;0;2;OUI;OUI;2024-06-15T12:48:08+02:00;48.82650293311, 2.3092747998272;Paris;
14130;Jonquoy - Didot;OUI;30;27;3;0;3;OUI;OUI;2024-06-15T12:52:01+02:00;48.82890454823947, 2.31648076325655;Paris;
15108;Lourmel - Marie Skobtsov;OUI;22;9;13;12;1;OUI;OUI;2024-06-15T12:50:01+02:00;48.844974, 2.287283;Paris;
41207;Place du Général de Gaulle;OUI;28;17;11;2;9;OUI;OUI;2024-06-15T12:51:28+02:00;48.8525288, 2.4877332;Fontenay-sous-Bois;
17047;Courcelles - Pierre Demours;OUI;26;22;4;1;3;OUI;OUI;2024-06-15T12:52:20+02:00;48.883769733273496, 2.29858466343129;Paris;
16006;Lauriston - Copernic;OUI;19;14;4;1;3;OUI;OUI;2024-06-15T12:51:28+02:00;48.86926, 2.289918;Paris;
17046;Mac-Mahon - Brey;OUI;25;21;4;2;2;OUI;OUI;2024-06-15T12:52:15+02:00;48.877532084130166, 2.294512536052928;Paris;
12011;Charenton - Place du Col Bourgoin;OUI;35;1;33;31;2;OUI;OUI;2024-06-15T12:48:02+02:00;48.844867319554, 2.3825789350545;Paris;
17121;Square des Epinettes;OUI;20;18;2;2;0;OUI;OUI;2024-06-15T12:49:29+02:00;48.89383909781389, 2.325953990221024;Paris;
21308;Bara - Henri Farman;OUI;58;31;27;20;7;OUI;OUI;2024-06-15T12:51:58+02:00;48.833218027457846, 2.2677567601203923;Issy-les-Moulineaux;
47006;Les Planètes;OUI;16;1;14;4;10;OUI;OUI;2024-06-15T12:51:16+02:00;48.8099849920804, 2.4580853059887886;Maisons-Alfort;
21019;Edouard Vaillant - Paul-Adolphe Souriau;OUI;28;27;1;0;1;OUI;OUI;2024-06-15T12:48:48+02:00;48.83484585882868, 2.2479459643363957;Boulogne-Billancourt;
18113;Lepic - Armée d'Orient;OUI;24;22;2;1;1;OUI;OUI;2024-06-15T12:49:19+02:00;48.88753640381415, 2.334307730197907;Paris;
12032;Porte Dorée;OUI;36;25;9;6;3;OUI;OUI;2024-06-15T12:51:37+02:00;48.8354337, 2.4077132;Paris;
19038;Lassus - Delouvain;OUI;20;19;1;0;1;OUI;OUI;2024-06-15T12:45:29+02:00;48.8755044846, 2.3890327325519;Paris;
20109;Haxo - Surmelin;OUI;21;19;1;0;1;OUI;OUI;2024-06-15T12:47:12+02:00;48.8694370761222, 2.40539657537972;Paris;
18029;Emile Blemont - Poteau;OUI;39;37;2;1;1;OUI;OUI;2024-06-15T12:50:12+02:00;48.8943782, 2.3415122;Paris;
15038;Place Adolphe Cherioux - Vaugirard;OUI;63;31;30;27;3;OUI;OUI;2024-06-15T12:51:43+02:00;48.83959442800459, 2.3010657727718353;Paris;
21703;Square du Carrefour de l'Insurrection;OUI;23;10;12;3;9;OUI;OUI;2024-06-15T12:47:55+02:00;48.820864559770676, 2.291113436222077;Vanves;
20021;Indre - Prairies;OUI;38;34;4;0;4;OUI;OUI;2024-06-15T12:52:10+02:00;48.86254398506782, 2.403290458023548;Paris;
35017;Toffier Decaux - Cartier Bresson;OUI;18;13;4;4;0;OUI;OUI;2024-06-15T12:50:11+02:00;48.90165072551549, 2.4017545580863957;Pantin;
7005;Raspail - Bac;OUI;52;44;4;2;2;OUI;OUI;2024-06-15T12:52:20+02:00;48.855628721101, 2.3256602883339;Paris;
20118;Orteaux - Mouraud;OUI;24;24;0;0;0;OUI;OUI;2024-06-15T12:50:39+02:00;48.85558642847872, 2.408762907764669;Paris;
6018;Michelet - Assas;OUI;18;14;3;1;2;OUI;OUI;2024-06-15T12:47:16+02:00;48.842741502832, 2.3350211977959;Paris;
9031;Provence - Chaussée d'Antin;OUI;25;2;22;12;10;OUI;OUI;2024-06-15T12:51:58+02:00;48.87428447542072, 2.332976511564311;Paris;
19109;Tanger - Place du Maroc;OUI;19;14;4;4;0;OUI;OUI;2024-06-15T12:46:49+02:00;48.8862524447104, 2.3689296841621403;Paris;
20023;Pelleport - Belgrand;OUI;15;11;4;0;4;OUI;OUI;2024-06-15T12:51:47+02:00;48.86500081847653, 2.403980836377493;Paris;
31019;Vincennes - Douy-Delcupe;OUI;38;32;6;3;3;OUI;OUI;2024-06-15T12:49:16+02:00;48.85493692155721, 2.436049282550812;Montreuil;
14002;Edgar Quinet - Raspail;OUI;46;30;14;6;8;OUI;OUI;2024-06-15T12:51:23+02:00;48.83940266673835, 2.32971478253603;Paris;
32014;Place du Cornillon - Stade de France;OUI;34;28;6;3;3;OUI;OUI;2024-06-15T12:51:04+02:00;48.92540695835961, 2.3644426837563515;Saint-Denis;
15035;Place Etienne Pernet;OUI;43;12;29;28;1;OUI;OUI;2024-06-15T12:52:15+02:00;48.84243457133779, 2.2921819612383847;Paris;
18032;Porte de Clignancourt.;OUI;56;45;10;3;7;OUI;OUI;2024-06-15T12:51:05+02:00;48.897488, 2.343996;Paris;
35003;Gabrielle Josserand - Edouard Vaillant;OUI;25;17;7;2;5;OUI;OUI;2024-06-15T12:51:50+02:00;48.90271566255436, 2.3933270573616032;Pantin;
17124;Porte de Saint-Ouen - Henri Huchard;OUI;26;21;5;4;1;OUI;OUI;2024-06-15T12:51:39+02:00;48.898708366365064, 2.3295360803604126;Paris;
15031;Théâtre - Lourmel;OUI;53;10;43;38;5;OUI;OUI;2024-06-15T12:51:11+02:00;48.8482070397636, 2.2898658737540245;Paris;
44012;Génie - Mozart;OUI;19;12;7;1;6;OUI;OUI;2024-06-15T12:48:04+02:00;48.794902381218904, 2.3734183609485626;Vitry-sur-Seine;
21014;Hameau Fleuri - Marché;OUI;22;1;21;17;4;OUI;OUI;2024-06-15T12:50:26+02:00;48.831448892608314, 2.2412404417991643;Boulogne-Billancourt;
17027;Place du Maréchal Juin - Péreire;OUI;46;39;6;4;2;OUI;OUI;2024-06-15T12:48:30+02:00;48.885263, 2.298286;Paris;
35014;Charles de Gaulle - Jean Lolive;OUI;26;20;6;4;2;OUI;OUI;2024-06-15T12:52:10+02:00;48.8932644350857, 2.4126765131950383;Pantin;
31016;Lucie Aubrac - Franklin;OUI;36;32;4;2;2;OUI;OUI;2024-06-15T12:50:40+02:00;48.86223916006812, 2.4435862898826604;Montreuil;
11006;Ledru-Rollin - Place du Père Chaillet;OUI;37;12;25;23;2;OUI;OUI;2024-06-15T12:52:19+02:00;48.856433706943704, 2.379020587761426;Paris;
51003;Hôtel de Ville d'Argenteuil;OUI;30;16;14;12;2;OUI;OUI;2024-06-15T12:52:17+02:00;48.946504, 2.2496396;Argenteuil;
19127;Aubervilliers - Curial;OUI;23;19;4;2;2;OUI;OUI;2024-06-15T12:49:47+02:00;48.89088305227546, 2.3688579350709915;Paris;
22101;Gare Routière de Saint Cloud;OUI;31;5;24;19;5;OUI;OUI;2024-06-15T12:52:03+02:00;48.84288183896324, 2.222245037555695;Saint-Cloud;
15070;Balard - Montagne de la Fage;OUI;36;6;30;27;3;OUI;OUI;2024-06-15T12:48:44+02:00;48.83850740333351, 2.2782871127128606;Paris;
13043;Dunois - Clisson;OUI;51;40;9;8;1;OUI;OUI;2024-06-15T12:49:32+02:00;48.832294, 2.3674523;Paris;
1120;Lavandieres Sainte Opportune - Rivoli;OUI;27;0;27;12;15;OUI;OUI;2024-06-15T12:51:45+02:00;48.859279702476, 2.3466217517853;Paris;
8051;Batignolles - Rome;OUI;15;10;2;1;1;OUI;OUI;2024-06-15T12:50:23+02:00;48.881823370566806, 2.3202589899301524;Paris;
9026;Jean-Baptiste Pigalle - La Bruyere;OUI;17;13;3;3;0;OUI;OUI;2024-06-15T12:51:54+02:00;48.87939826447722, 2.333709173337285;Paris;
19039;Edouard Pailleron - Simon Bolivar;OUI;24;20;4;1;3;OUI;OUI;2024-06-15T12:48:32+02:00;48.87979886049996, 2.374839261174202;Paris;
11010;Boulets - Faubourg Saint-Antoine;OUI;43;8;32;21;11;OUI;OUI;2024-06-15T12:52:16+02:00;48.849259262115, 2.3917546141943;Paris;
22001;Château - Bineau;OUI;23;8;13;7;6;OUI;OUI;2024-06-15T12:49:51+02:00;48.890404028589806, 2.270106375217438;Neuilly-sur-Seine;
16122;Route de la Muette - Porte de Neuilly;OUI;50;43;7;2;5;OUI;OUI;2024-06-15T12:46:56+02:00;48.8798926, 2.2587671;Paris;
20027;Porte de Ménilmontant;OUI;15;14;1;0;1;OUI;OUI;2024-06-15T12:49:31+02:00;48.8691543609174, 2.40932246879487;Paris;
21310;Kléber - Gouverneur Général Eboué;OUI;24;0;23;21;2;OUI;OUI;2024-06-15T12:45:41+02:00;48.826885843069796, 2.2723413258790965;Issy-les-Moulineaux;
16123;Mahatma Gandhi;OUI;26;1;25;5;20;OUI;OUI;2024-06-15T12:52:10+02:00;48.876356, 2.264205;Paris;
23007;Président Wilson - Jean Jaures;OUI;27;20;7;5;2;OUI;OUI;2024-06-15T12:48:07+02:00;48.89034054052266, 2.2920683026313786;Levallois-Perret;
31007;Paris - Désiré Préaux;OUI;49;41;7;2;5;OUI;OUI;2024-06-15T12:52:16+02:00;48.85742876694898, 2.4323049187660217;Montreuil;
32015;Gare RER de Saint-Denis;OUI;40;26;11;6;5;OUI;OUI;2024-06-15T12:51:20+02:00;48.93554324248177, 2.3471488058567047;Saint-Denis;
19040;Belleville - Télégraphe;OUI;41;39;2;0;2;OUI;OUI;2024-06-15T12:49:44+02:00;48.8756045, 2.3995549;Paris;
20116;Haies - Réunion;OUI;16;16;0;0;0;OUI;OUI;2024-06-15T12:46:21+02:00;48.85386896766491, 2.402426162238911;Paris;
6016;Danton - Serpente;OUI;22;11;10;6;4;OUI;OUI;2024-06-15T12:52:18+02:00;48.852297362582, 2.3414132371545;Paris;
6107;Place Alphonse Deville;OUI;23;15;7;4;3;OUI;OUI;2024-06-15T12:51:39+02:00;48.850188262662, 2.3275961726904;Paris;
41204;République - Danton;OUI;20;20;0;0;0;OUI;OUI;2024-06-15T12:48:26+02:00;48.85249172181667, 2.462034523487091;Fontenay-sous-Bois;
18017;Caulaincourt - Place Constantin Pecqueur;OUI;44;40;4;0;4;OUI;OUI;2024-06-15T12:51:26+02:00;48.8896779050281, 2.33817871442611;Paris;
10020;Chabrol - d'Hauteville;OUI;11;5;4;2;2;OUI;OUI;2024-06-15T12:50:33+02:00;48.87701838803332, 2.3513179644942284;Paris;
16029;Maison de Radio - France;OUI;47;11;35;34;1;OUI;OUI;2024-06-15T12:52:21+02:00;48.85132886434057, 2.277785539627075;Paris;
19009;Cité des Sciences et de l'Industrie;OUI;30;21;9;7;2;OUI;OUI;2024-06-15T12:52:10+02:00;48.89659571178903, 2.384599149227142;Paris;
8019;Naples - Rome;OUI;26;22;4;1;3;OUI;OUI;2024-06-15T12:49:52+02:00;48.879960700846226, 2.321358695626259;Paris;
18109;Pajol - Riquet;OUI;47;42;5;1;4;OUI;OUI;2024-06-15T12:51:13+02:00;48.88960028134536, 2.3628534749150276;Paris;
14030;Pernety - Raymond Losserand;OUI;32;31;1;1;0;OUI;OUI;2024-06-15T12:45:50+02:00;48.834254627953, 2.317609339387;Paris;
16021;François Ponsard - La Muette;OUI;23;19;4;3;1;OUI;OUI;2024-06-15T12:51:29+02:00;48.8583666, 2.2744515;Paris;
13046;Eugène Oudiné - Dessous Des Berges;OUI;44;6;38;34;4;OUI;OUI;2024-06-15T12:50:30+02:00;48.8256423, 2.3750226;Paris;
9117;Bellefond - Maubeuge;OUI;31;30;1;0;1;OUI;OUI;2024-06-15T12:45:37+02:00;48.878255397645, 2.3452642187476;Paris;
22102;Mont Valérien - Michel Salles;OUI;24;16;7;3;4;OUI;OUI;2024-06-15T12:46:49+02:00;48.8561915, 2.2152966;Saint-Cloud;
18049;Porte d'Aubervilliers;OUI;55;40;12;6;6;OUI;OUI;2024-06-15T12:52:15+02:00;48.89859661942376, 2.3689722642302513;Paris;
17022;Pereire - Place de Wagram;OUI;46;45;1;1;0;OUI;OUI;2024-06-15T12:50:43+02:00;48.887070607581215, 2.304111124531457;Paris;
11041;Square Saint-Ambroise;OUI;43;2;39;32;7;OUI;OUI;2024-06-15T12:51:26+02:00;48.860934, 2.375841;Paris;
7020;Champ de Mars - Cler;OUI;40;12;27;19;8;OUI;OUI;2024-06-15T12:52:20+02:00;48.856691550115315, 2.306646779179573;Paris;
31703;Sadi Carnot - François Mitterrand;OUI;27;24;3;0;3;OUI;OUI;2024-06-15T12:50:06+02:00;48.87532687671517, 2.4241617321968083;Bagnolet;
10036;Aqueduc - Villette;OUI;28;24;4;2;2;OUI;OUI;2024-06-15T12:47:24+02:00;48.883886063895, 2.367198803315;Paris;
47005;Ecole Vétérinaire;OUI;36;7;28;26;2;OUI;OUI;2024-06-15T12:51:23+02:00;48.81488859822486, 2.4224362157778994;Maisons-Alfort;
1117;Pont Neuf - Rivoli;OUI;27;1;25;14;11;OUI;OUI;2024-06-15T12:49:49+02:00;48.860089892617, 2.344057559967;Paris;
16015;Bassano -  Iéna;OUI;15;12;3;0;3;OUI;OUI;2024-06-15T12:47:47+02:00;48.868144510482075, 2.296149600985935;Paris;
23903;Stade Gaston Bouillant;OUI;30;21;4;3;1;OUI;OUI;2024-06-15T12:50:57+02:00;48.939958667023, 2.3279571813836;Villeneuve-la-Garenne;
14112;Méchain - Faubourg Saint-Jacques;OUI;16;14;2;1;1;OUI;OUI;2024-06-15T12:50:02+02:00;48.83586772099485, 2.33798034198275;Paris;
31704;Jeanne Hornet - Girardot;OUI;29;27;2;0;2;OUI;OUI;2024-06-15T12:51:30+02:00;48.873802681432146, 2.427820265293122;Bagnolet;
47004;Stade Auguste Delaune;OUI;21;2;18;16;2;OUI;OUI;2024-06-15T12:51:09+02:00;48.80896378683884, 2.4345204234123234;Maisons-Alfort;
19023;Manin - Simon Bolivar;OUI;26;24;2;0;2;OUI;OUI;2024-06-15T12:50:48+02:00;48.87649965412676, 2.379407362599104;Paris;
21001;Transvaal - Charles de Gaulle;OUI;27;21;4;3;1;OUI;OUI;2024-06-15T12:47:31+02:00;48.848280403628806, 2.2373420120857195;Boulogne-Billancourt;
15059;Parc André Citroën;OUI;65;10;55;54;1;OUI;OUI;2024-06-15T12:52:04+02:00;48.840639944296655, 2.2780618071556096;Paris;
18033;Belliard - Damrémont;OUI;34;30;3;3;0;OUI;OUI;2024-06-15T12:52:19+02:00;48.89669238777841, 2.338023450388167;Paris;
4013;Vieille du Temple - Francs Bourgeois;OUI;29;1;27;22;5;OUI;OUI;2024-06-15T12:46:38+02:00;48.858256413365815, 2.35821794718504;Paris;
15002;Maine - Antoine Bourdelle;OUI;17;1;16;5;11;OUI;OUI;2024-06-15T12:50:26+02:00;48.84308531746595, 2.320263946784738;Paris;
4011;Hôtel de Ville - Pont-Marie;OUI;36;18;17;13;4;OUI;OUI;2024-06-15T12:52:08+02:00;48.853899645527, 2.3569472506642;Paris;
20016;Pyrénées - Maraîchers;OUI;19;17;1;0;1;OUI;OUI;2024-06-15T12:50:19+02:00;48.85714001395299, 2.4043509364128113;Paris;
45001;Hôtel de Ville de Champigny sur Marne;OUI;21;4;17;12;5;OUI;OUI;2024-06-15T12:46:08+02:00;48.813810628405, 2.5096759200096;Champigny-sur-Marne;
10010;Place Jacques Bonsergent;OUI;33;5;28;20;8;OUI;OUI;2024-06-15T12:52:20+02:00;48.870948218595, 2.3612049221992;Paris;
9118;Faubourg Poissonniere - Delta;OUI;36;31;5;1;4;OUI;OUI;2024-06-15T12:51:10+02:00;48.882555807626765, 2.3497482016682625;Paris;
5121;Square René Viviani - Montebello;OUI;34;2;31;28;3;OUI;OUI;2024-06-15T12:52:02+02:00;48.851904891406384, 2.347842156887055;Paris;
21024;Billancourt - Général Leclerc;OUI;22;19;3;2;1;OUI;OUI;2024-06-15T12:47:48+02:00;48.8322649, 2.2380413;Boulogne-Billancourt;
16043;Place de Passy;OUI;15;12;3;1;2;OUI;OUI;2024-06-15T12:47:56+02:00;48.85780291711202, 2.277500546942199;Paris;
20019;Place du Maquis du Vercors;OUI;31;29;2;1;1;OUI;OUI;2024-06-15T12:45:59+02:00;48.877321579493575, 2.4083782732486725;Paris;
16027;Mozart - Jasmin;OUI;62;54;8;4;4;OUI;OUI;2024-06-15T12:48:00+02:00;48.85286124871689, 2.268483570651513;Paris;
12108;Bercy.;OUI;66;0;66;51;15;OUI;OUI;2024-06-15T12:51:11+02:00;48.839966914994, 2.3788625746965;Paris;
32004;Wilson - Landy;OUI;40;35;5;0;5;OUI;OUI;2024-06-15T12:50:28+02:00;48.91516726221354, 2.357633225619793;Saint-Denis;
8056;Beaujon - Wagram;OUI;29;24;5;2;3;OUI;OUI;2024-06-15T12:49:13+02:00;48.875352455985, 2.2964416444302;Paris;
9017;Lallier - Trudaine;OUI;29;26;3;2;1;OUI;OUI;2024-06-15T12:51:37+02:00;48.88109246617963, 2.3408224806189537;Paris;
